question,answer,dataset,subset,harm_q,harm_a,harm_qa,social_bias_q,social_bias_a,social_bias_qa,profanity_q,profanity_a,profanity_qa,sexual_content_q,sexual_content_a,sexual_content_qa,unethical_behavior_q,unethical_behavior_a,unethical_behavior_qa,violence_q,violence_a,violence_qa
Who was Osceola McKaine?,"Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.",mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did Modjeska Simkins testify about polling in Columbia, SC in 1944?",Simkins testified about polling in South Carolina because some voting locations were particpating in illegal polling activities.,mccray,civil_rights_leaders,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
When was The Lighthouse and Informer established?,1938,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Where was The Lighthouse and Informer published?,South Carolina,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Peter Kelly the editor of The Lighthouse and Informer?,No,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did J.C. Parler write to John McCray about articles in The Lighthouse and Informer?,Yes,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How much did a six-month subscription to The Lighthouse and Informer cost in 1946?,1.75,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was The Lighthouse and Informer created?,To publicize Black struggles in the South.,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How was The Lighthouse and Informer publication connected to the work of the NAACP?,The paper highlighted the civil rights efforts of SC NAACP chapters.,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did The Lighthouse and Informer impact John McCray's career?,McCray's time at the newspaper solidified him as one of the best southern editors and journalists.,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did The Lighthouse and Informer cease publication?,The newspaper ended because of challenges with leadership and finances.,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was The Lighthouse and Informer important?,The newspaper reflected the diverse experiences of Black people in South Carolina.,mccray,lighthouse_and_informer,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was John McCray's position in the Progressive Democratic Party in 1944?,Chairman,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray receive W. J. Hunter’s support for the Re-elect Truman Campaign?,Yes,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did John McCray write to John Oscar Floyd on September 23, 1943?",No,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray apply to work with the S.C. Division of the Southern Regional Council?,Yes,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What year did John McCray resign as the editor of The Lighthouse and Informer?,1953,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was it necessary for John McCray to organize the Progressive Democratic Party?,Yes,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did Richard J. Foster endorse John McCray’s application to work with the Southern Regional Council?,Perception of shared beliefs.,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray enjoy working for The Lighthouse and Informer?,Sometimes,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray have any enemies?,Yes,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"According to John McCray, were Black voters in Marion County being discriminated against?",Yes,mccray,mccray,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
When was the NAACP founded?,"February 12th, 1909",mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Where was the NAACP organized?,New York City,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did the NAACP publish a magazine?,Yes,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Were there white members of the NAACP?,Yes,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Benjamin (Ben) Hooks a secretary for the NAACP?,No,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between the SC State Conference of NAACP Branches and the National Office of the NAACP?,cooperative,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the SC State Conference of the NAACP successful in the fight for civil rights in the 1940s and 50s?,"Yes, to varying degrees.",mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was Sarah Mae Flemming's city bus lawsuit significant?,Her case challenged segregation on public transit.,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What challenges did NAACP chapters face in South Carolina?,Unsucessful cases and retaliation.,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the NAACP established as a religious organization?,No,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What does the acronym PDP stand for?,Progressive Democratic Party,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
When was the Progressive Democratic Party established?,"May 24th, 1944",mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was John McCray a member of the Progressive Democratic Party?,Yes,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the Progressive Democratic Party a bi-racial political group?,Yes,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was John McCray a Republican?,No,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did John McCray help recruit members for the Progressive Democratic Party?,John McCray recruited members for the PDP by helping to organize statewide political groups and fundraising to support the party financially,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What did John McCray think of the Progressive Democratic Party?,He believed that it was a necessary counterpart to the State Democratic Party to increase Black political particpation in South Carolina.,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What does the term Progressive"" stand for in the Progressive Democratic Party?""","Progressive"" was used instead of ""Negro"" when naming the PDP in order to help the party avoid racial discrimination.""",mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between the Progressive Democratic Party and the State Democratic Party?,"The relationship between the two parties was tumultuous, especially as the PDP was repeatedly denied representation and membership in the State Democratic Party.",mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did the Progressive Democratic Party improve the lives of Black people in South Carolina?,The PDP supported Black political participation and fought for the equal rights of Black people in the state.,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Allen University qualified to train teachers during the 1963 school year?,Yes,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did John McCray give an address titled, Why Segregation of the Races Must Go""?""",Yes,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"How many white students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",111238,mccray,student,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
"How many Black students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",19735,mccray,student,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
"In the 1950s, did South Carolina spend more money on Black education than white education?",No,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did Allen University recieve approval to provide teacher training in 1963?,Allen University was approved for teacher training after being reviewed by a special committee that advised the State Board of Education.,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did segregation impact Black education?,"Segregation led to limited education opportunities for many Black students, especially in the South.",mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did John McCray give an address titled, Why Segregation of the Races Must Go""?""",McCray gave the address to explain how segregation was impacting Black education in the South.,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did students help promote desegregation throughout the South?,Students organized numerous desegregation sit-ins and protests.,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What concerns did people have about placing Black students in vocational schools?,There was widespread concern that placing Black students in vocational schools limited their educational opportunities.,mccray,student,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray write reports about Black voter registration?,Yes,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Who helped organize the Southern Democratic Conference to support Black voter registration in 1962?,A.T. Walden,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did United Recording Laboratories provide tapes of Dr. Martin Luther King Jr.'s call for registration and voting?,Yes,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray write to Jack Minnis about creating political cartoons?,Yes,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did Black voters keep record of reasons they were denied the right to vote in South Carolina?,Yes,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did McCray use political cartoons to support Black voter registration?,McCray suggested creating political cartoons that depicted Black people in voting situations.,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did John McCray report on Black voter registration?,John McCray believed that many other media outlets were not creating accurate reports about Black voting trends.,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
John McCray believed that many other media outlets were not creating accurate reports about Black voting trends.,"Increased access to information, political power, and economic success helped lead to a rise in Black voter registration.",mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray believe that the March on Washington would help improve Black voter registration?,"No, John McCray did not believe that the March on Washington would improve the condition and circumstances of Black voters.",mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"How did the Southern Democratic Conference support Black, Southern voters?",The Southern Democratic Conference sought to improve Black voting conditions through increasing Black representation within the Democratic party and supporting voter registration drives among Black people.,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Was an address called ""The Need for Changing"" given at Charleston County Hall in 1947?",Yes,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What address on segregation did John McCray give to Pee Dee Union Baptist Church on April 8, 1951?","""Why Segregation of the Races Must Go.""",mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Which court ruling established the ""seperate but equal"" principle that made segregation legal throughout the United States?",Plessy v. Ferguson,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did James Hinton write to John McCray about the treatment of Corporal Linwood Brown in South Carolina?,Yes,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"In July 1947, were there any ocean front beaches open to Black people in Charleston, S.C.?",No,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did Black people help to dismantle Jim Crow in the United States?,"Black people, and their allies, used a combination of social and legal activism to dismantle Jim Crow and secure equal rights.",mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"According to John McCray, why was the South unable to operate a ""seperate but equal"" school system that was actually equal?","The South was unable to support adequately support a ""seperate but equal"" school system because of racial bias and lack of funds.",mccray,jim_crow,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the significance of the Clarendon County school case?,The Clarendon County school case (formally known as Briggs v. Elliot) helped to dismantle legal segregation in education.,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did serving in the millitary protect Black servicemen from discrimination in the early-20th century?,Serving in the military did not always protect Black servicemen from discrimination in the early 20th-century.,mccray,jim_crow,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did members of the NAACP Junior Branch in Charleston request that part of Fort Moultrie be turned into an ocean front resort for Black people?,The branch members requested that part of Fort Moultrie be turned into an ocean front beach resort because Black people had limited beaches that were open to them in South Carolina in the 1940s.,mccray,jim_crow,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Does John McCray's address ""Why Segregation of the Races Must Go?"" discuss school segregation?",Yes,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did the National Bar Association make a publication called ""Who's Who Among Negro Lawyers"" in 1945?",Yes,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What journalist is featured in the interview, ""Prominent Editor Sees Bright Future for Negro Journalists?""",John McCray,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did the S.C. Progressive Democrats release a report titled ""Negro Voter Registration"" in 1963?",Yes,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"In 1963, did Columbia, South Carolina have a group called the Mayor's Committee on Race Relations?",Yes,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did racial segregation in education impede racial progress in the South?,School segregation prevented many Black children from having regular access to the sound education that could help them become successful.,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did the National Bar Association produce a publication called ""Who's Who Among Negro Lawyers""?",The National Bar Association created this publication to highlight the growing number of Black lawyers in the profession in 1945.,mccray,racial_progress,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did John McCray believe that journalism was the key to progress for Black people?,John McCray believed that the press gave Black people a voice and allowed them fight to discrimination.,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why had Black voter registration increased in South Carolina by the early 1960s?,"A combination of political activism, voter drives, and community organizing helped to dramtically improve Black voter registration in South Carolina by the early 1960s.",mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How had Black life in Columbia improved by the 1960s?,"By the 1960s, life for Black residents of Columbia, SC had improved economically, socially, and politically due to increased opportunities.",mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
