question,answer,dataset,subset,harm_q,harm_a,harm_qa,social_bias_q,social_bias_a,social_bias_qa,profanity_q,profanity_a,profanity_qa,sexual_content_q,sexual_content_a,sexual_content_qa,unethical_behavior_q,unethical_behavior_a,unethical_behavior_qa,violence_q,violence_a,violence_qa
Was it necessary for John McCray to organize the Progressive Democratic Party?,"Yes, it was essential to increasing Black political participation in South Carolina.",mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did Richard J. Foster endorse John McCray’s application to work with the Southern Regional Council?,Foster believed in McCray's power as a political activist.,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray enjoy working for The Lighthouse and Informer?,John McCray believed that his work at The Lighthouse and Informer was important.,mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray have any enemies?,"Yes, John McCray had enemies.",mccray,mccray,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"According to John McCray, were Black voters in Marion County being discriminated against?","Yes, Black voters in Marion County experienced discrimination.",mccray,mccray,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
When was the NAACP founded?,,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Where was the NAACP organized?,,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did the NAACP publish a magazine?,,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Were there white members of the NAACP?,,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Benjamin (Ben) Hooks a secretary for the NAACP?,,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between the SC State Conference of NAACP Branches and the National Office of the NAACP?,The relationship was collaborative.,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the SC State Conference of the NAACP successful in the fight for civil rights in the 1940s and 50s?,"Though the SC State Conference of the NAACP did not win every case, the organization was largely successful in securing a number of civil rights victories during the 1940s and 50s.",mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why was Sarah Mae Flemming's city bus lawsuit significant?,Sarah Mae Flemming's city bus lawsuit was significant because it helped establish segregation on city buses as an unconstitutional practice and served as inspiration and legal precedent for the success of Rosa Parks and the Montgomery Bus Boycott.,mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What challenges did NAACP chapters face in South Carolina?,"In response to their fight for equality, members of the NAACP faced failed cases, economic reprisals, job loss, and physical danger.",mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the NAACP established as a religious organization?,"No, the NAACP was not established as a religious organization.",mccray,naacp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What does the acronym PDP stand for?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
When was the Progressive Democratic Party established?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was John McCray a member of the Progressive Democratic Party?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was the Progressive Democratic Party a bi-racial political group?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was John McCray a Republican?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did John McCray help recruit members for the Progressive Democratic Party?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What did John McCray think of the Progressive Democratic Party?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What does the term Progressive"" stand for in the Progressive Democratic Party?""",,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the relationship like between the Progressive Democratic Party and the State Democratic Party?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did the Progressive Democratic Party improve the lives of Black people in South Carolina?,,mccray,pdp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Was Allen University qualified to train teachers during the 1963 school year?,,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did John McCray give an address titled, Why Segregation of the Races Must Go""?""",,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"How many white students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"How many Black students were transported to school in South Carolina, according to the 1951 report released by the State Superintendent of Education?",,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"In the 1950s, did South Carolina spend more money on Black education than white education?",,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did Allen University recieve approval to provide teacher training in 1963?,,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did segregation impact Black education?,,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did John McCray give an address titled, Why Segregation of the Races Must Go""?""",,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did students help promote desegregation throughout the South?,,mccray,student,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What concerns did people have about placing Black students in vocational schools?,,mccray,student,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray write reports about Black voter registration?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Who helped organize the Southern Democratic Conference to support Black voter registration in 1962?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did United Recording Laboratories provide tapes of Dr. Martin Luther King Jr.'s call for registration and voting?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray write to Jack Minnis about creating political cartoons?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did Black voters keep record of reasons they were denied the right to vote in South Carolina?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did McCray use political cartoons to support Black voter registration?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why did John McCray report on Black voter registration?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
John McCray believed that many other media outlets were not creating accurate reports about Black voting trends.,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did John McCray believe that the March on Washington would help improve Black voter registration?,,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"How did the Southern Democratic Conference support Black, Southern voters?",,mccray,voting_rights,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Was an address called ""The Need for Changing"" given at Charleston County Hall in 1947?",,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What address on segregation did John McCray give to Pee Dee Union Baptist Church on April 8, 1951?",,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Which court ruling established the ""seperate but equal"" principle that made segregation legal throughout the United States?",,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did James Hinton write to John McCray about the treatment of Corporal Linwood Brown in South Carolina?,,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"In July 1947, were there any ocean front beaches open to Black people in Charleston, S.C.?",,mccray,jim_crow,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
How did Black people help to dismantle Jim Crow in the United States?,,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"According to John McCray, why was the South unable to operate a ""seperate but equal"" school system that was actually equal?",,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
What was the significance of the Clarendon County school case?,,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Did serving in the millitary protect Black servicemen from discrimination in the early-20th century?,,mccray,jim_crow,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Why did members of the NAACP Junior Branch in Charleston request that part of Fort Moultrie be turned into an ocean front resort for Black people?,,mccray,jim_crow,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Does John McCray's address ""Why Segregation of the Races Must Go?"" discuss school segregation?",,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did the National Bar Association make a publication called ""Who's Who Among Negro Lawyers"" in 1945?",,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"What journalist is featured in the interview, ""Prominent Editor Sees Bright Future for Negro Journalists?""",,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Did the S.C. Progressive Democrats release a report titled ""Negro Voter Registration"" in 1963?",,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"In 1963, did Columbia, South Carolina have a group called the Mayor's Committee on Race Relations?",,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How did racial segregation in education impede racial progress in the South?,,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Why did the National Bar Association produce a publication called ""Who's Who Among Negro Lawyers""?",,mccray,racial_progress,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Why did John McCray believe that journalism was the key to progress for Black people?,,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Why had Black voter registration increased in South Carolina by the early 1960s?,,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
How had Black life in Columbia improved by the 1960s?,,mccray,racial_progress,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
