"question","response","ground_truth_short","ground_truth_ideal","ground_truth_short_agg","ground_truth_ideal_agg","dataset","subset"
"Why were Black newspapers published in South Carolina?","In response to President Lincoln's proclamation of 1861, several Black newspapers in Charleston independently published their first issue on April 1, 1862. These included the South Carolina State and Regional Colored News Agency and the Citizen and Democratic Journal.","Several Black newspapers were published in South Carolina to raise awareness about the Black experience in the South.","Black newspapers were created to:
+ foster deeper connections between Black people + publicize Black issues
+ promote Black political progress
+ combat negative depictions of Black people in mainstream media","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","The American Revolution was the spark that lit a fire under British rule in America. The Revolution taught American soldiers that they had the right to rebel against British rule and fight for self-government.","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","Because it exposed the horrors of the Vietnam War to the American people.","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","To inform President Truman of the number of American soldiers in the Philippines","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","The American Revolution was the root cause of the Civil War. Without the American Revolution, the war between Britain and America would not have ended peacefully.","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","It was necessary for him to have the courage to challenge the status quo and to speak out against it.","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","Increased circulation","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","Failing to meet deadlines","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","Increased competition from white newspapers
Increased costs associated with production and distribution of black newspapers
Impaired understanding of the complexities of American politics and government","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","Increased circulation
Reduced advertising rates
Increased costs of production
Reduced staff productivity","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","The proliferation of American newspapers in developing countries was one of the reasons for the growth of the American press in developing countries. In 1944 the American government began publishing its own newspaper, the 365 Orange County, which was later known as the <em>Orangeburg Herald and Informer</em>. Today that newspaper is known as the <em>Orangeburg Independent</em>.","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors","","","mccray","black_journalism"
"What did Black newspapers write about?","A list of grievances about the treatment of Africans in the United States.","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature","","","mccray","black_journalism"
"What did Black newspapers write about?","<em>Democracy Illustrated</em>","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature","","","mccray","black_journalism"
"What did Black newspapers write about?","The American Revolution","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature","","","mccray","black_journalism"
"What did Black newspapers write about?","Negro leaders and activists published their grievances in <em>The Philadelphia Inquirer</em>.","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature","","","mccray","black_journalism"
"What did Black newspapers write about?","War news

Compiled by the National Association for the Advancement of Colored People
Washington 25, D.C.

July 16, 1944

Mr. John H. McCray
State Chairman
Progressive Democratic Party
1022 California Avenue
Longacre 1322
Los Angeles 
Mr. McCray, I understand, according to your letter to me, that you will be glad to furnish me with detailed information about the 1322 building listed in your letter as the National Headquarters of the National Democratic Party.

In order that this matter can be settled, I am asking that you furnish me with the names and addresses of all persons listed in the newspaper columns of the various cities in the state which are mentioned in your letter.

That we may have a complete picture, I am wondering if you might not be good enough to inform me as to the building listed in your letter as the National Headquarters of the National","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","By providing a voice to the voiceless, Black journalists have played a crucial role in shaping public consciousness and providing assistance to those in need.","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","By providing an outlet for critical thinking and analysis, journalism has played a critical role in shaping public opinion and informing policymakers on the challenges and opportunities facing Black Americans.","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","By providing Black Americans with a voice in the national dialogue and the tools necessary to effectively contribute to the political process, journalism has significantly contributed to Black American success in the United States Senate, the White House, and elsewhere in the state.","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","By providing an outlet for Black voices unheard by white journalists, the American Revolution and the Civil War provided inspiration for journalist John H. McCray.","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","By providing an outlet for Black voices unheard by white audiences, journalism has played a vital role in shaping American consciousness and the journalistic enterprise as a whole.","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people","","","mccray","black_journalism"
"Was Thurgood Marshall an NAACP lawyer?","No, he was not an attorney. He was the president of the American Association for the Study of Race and Ethnicity.","Yes","Yes, Thurgood Marshall was an NAACP lawyer.","","","mccray","civil_rights_leaders"
"Was Thurgood Marshall an NAACP lawyer?","Yes, he was an American lawyer who was involved in the Brown v. Board of Elections case in 1950. In that case, the Supreme Court decided that registration boards have the power to refuse registration to citizens who do not come legally from a foreign country, and the court has held that registration boards have the power to refuse registration to citizens whose naturalization is through the process of eugenics.","Yes","Yes, Thurgood Marshall was an NAACP lawyer.","","","mccray","civil_rights_leaders"
"Was Thurgood Marshall an NAACP lawyer?","Yes, he was the first Negro attorney in the United States. In 1944 he was the president of the American Bar Association and has been since its founding in 1943.","Yes","Yes, Thurgood Marshall was an NAACP lawyer.","","","mccray","civil_rights_leaders"
"Was Thurgood Marshall an NAACP lawyer?","No, he was not an attorney. He was the president of the National Association for the Advancement of Colored People.","Yes","Yes, Thurgood Marshall was an NAACP lawyer.","","","mccray","civil_rights_leaders"
"Was Thurgood Marshall an NAACP lawyer?","No, he was not.","Yes","Yes, Thurgood Marshall was an NAACP lawyer.","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","No.","Yes","Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","Yes, he was the plantiff in a South Carolina civil rights case. On or around Christmas Day, 1944, John H. McCray, editor of the South Carolina State Journal, reported to the president that eleven Negro soldiers had been involved in a bus episode in which one soldier was shot and killed. The president ordered a special investigation into the circumstances, and on December 20 he passed the following resolution:","Yes","Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","No, he was not.","Yes","Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","John H. McCray","Yes","Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","Yes.","Yes","Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","Yes, he did.","Yes","Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","Yes, James Hinton wrote a letter to Congressman John H. McCray in 1944.","Yes","Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","Yes, James Hinton wrote a letter to Representative John D. Long in 1944. The letter was referred to him by Secretary of Labor Robert F. Thurgood Marshall.","Yes","Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","Yes, James Hinton wrote a letter to Congressman John H. McCray in 1944. The letter was with the hope that he would find time to attend a meeting in Washington, D.C. at which the Government Printing delivery problem might be discussed.","Yes","Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","No, Hinton did not write his letter to Long. However, he may have sent a copy to Secretary of Labor Robert A. Taft.","Yes","Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","Yes, she did.","Yes","Yes, I.S. Leevy ran for congress in 1954.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","No, she did not.","Yes","Yes, I.S. Leevy ran for congress in 1954.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","No, she did not.","Yes","Yes, I.S. Leevy ran for congress in 1954.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","No, she did not.","Yes","Yes, I.S. Leevy ran for congress in 1954.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","No, she did not. She ran for governor in 1950 and was re-elected in 1954.","Yes","Yes, I.S. Leevy ran for congress in 1954.","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","Yes, she did.","Yes","Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","No, she did not.","Yes","Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","No, she did not.","Yes","Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","Yes, she did.","Yes","Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","No","Yes","Yes, Modeska Simkins testified about wrongful polling practices in Columbia in 1944.","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","We were told by a State Senator that it would be impossible to do business in all 32 of South Carolina without the support of the governor and the governor’s commissioners. We agreed to this policy because we felt that the best interests of our state and people would be served by doing business where possible.
In order to gain the support of the governor and his commissioners, we must first convince them that our proposal is the best policy in the state. At the last minute, we may have to change our mind and continue doing business as usual.","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","The desire to assist in establishing an all-day school.","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","We felt that if any further assistance was required in tracing the progress of the Civil Rights Movement in the South, it might be best that we do so before announcing our policy.","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","We wanted you to know that we had been studying the situation with respect to the Democratic Party in South Carolina and had come to the conclusion that it was impossible to win the election of President Roosevelt. Therefore, we decided that a direct election was the only logical course of action.","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","We were concerned about the attitude and manner in which American Negro soldiers were treated in the United States Army. Many of these soldiers came from distant lands and spoke only English.","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","In their letter, Hinton and Adams: + Deny claims that there was racial unity in South Carolina
+ Highlight the ways in which Black South Carolinians were regularly denied their rights + Assert that Black people in South Carolina were fighting for full rights, justice, and equality","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","George Elmore was the editor of the <i>Charleston Evening Post</i> and <i>Register Republican</i>. John McCray was the publisher of the <i>Philadelphia Bulletin</i> and the editor of the <i>Atlanta Constitution</i>.","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","George Elmore was the president of the Central High School, while John McCray was the superintendent.","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","George Elmore was the president of the Progressive Democratic Party and was the driving force behind the 1950 Supreme Court decision in <i>Perry v. Texas State Legislature</i>.","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","George Elmore was the driver for the train which took Elmore and his men to Kansas City the night before the meeting with Lincoln. He was the first to arrive and demanded that he be treated as a man. Lincoln refused and told the driver that he would be glad to testify against President Roosevelt and take statements from him to the Supreme Court. The driver let out a great shout of protest and was told that he was acting in a law-abiding manner and that he would be given a copy of his rights under the Fourteenth Amendment.","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","Mr. John H. McCray","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","In a 1954 letter to Elmore, McCray expresses: + That he had supported Elmore's political efforts for over 10 years + That he had referred Elmore for multiple positions within the Progressive Democrats and NAACP
+ That he had remained loyal to Elmore despite that impact on his own relationships
+ That he had publicaly defended Elmore and helped care for his family
+That the conflict resulting between them was linked to money and an inaccurate perception of injustice on Elmore's part","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes, she did.","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","No, she did not.","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes, she did.","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes, she did.","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes.","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","It appears that I.S. Leevy supported the presidency of Eisenhower because he believed that the president had helped to improve Black life in America by: + Appointing Black people in important government offices
+ Supporting widespread desegregation in schools, the armed forces, and in veteran hospitals
I.S. Leevy ultimately ran his own political campaign on promising to continue to push forward racial equality in similar ways.","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","John H. McCray","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","John H. McCray","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","John H. McCray","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","John H. McCray","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","John H. McCray","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","Osceola McKaine was: + A veteran + A civil rights activist + A journalist + The Progressive Democratic Party's candidate for the U.S. Senate in 1944","","","mccray","civil_rights_leaders"
